"id","dp","decision","A_out1","A_out2","A_p1","A_p2","B_out1","B_out2","B_p1","B_p2"
1,1,1,2,1.6,0.1,0.9,3.85,0.1,0.1,0.9
2,1,2,2,1.6,0.2,0.8,3.85,0.1,0.2,0.8
3,1,3,2,1.6,0.3,0.7,3.85,0.1,0.3,0.7
4,1,4,2,1.6,0.4,0.6,3.85,0.1,0.4,0.6
5,1,5,2,1.6,0.5,0.5,3.85,0.1,0.5,0.5
6,1,6,2,1.6,0.6,0.4,3.85,0.1,0.6,0.4
7,1,7,2,1.6,0.7,0.3,3.85,0.1,0.7,0.3
8,1,8,2,1.6,0.8,0.2,3.85,0.1,0.8,0.2
9,1,9,2,1.6,0.9,0.1,3.85,0.1,0.9,0.1
10,1,10,2,1.6,1,0,3.85,0.1,1,0
11,2,1,60,-70,0.5,0.5,15,-5,0.5,0.5
12,2,2,60,-60,0.5,0.5,15,-5,0.5,0.5
13,2,3,60,-50,0.5,0.5,15,-5,0.5,0.5
14,2,4,60,-40,0.5,0.5,15,-5,0.5,0.5
15,2,5,60,-30,0.5,0.5,15,-5,0.5,0.5
16,2,6,60,-20,0.5,0.5,15,-5,0.5,0.5
17,2,7,60,-10,0.5,0.5,15,-5,0.5,0.5
18,3,1,30,-40,0.5,0.5,15,-5,0.5,0.5
19,3,2,30,-30,0.5,0.5,15,-5,0.5,0.5
20,3,3,30,-20,0.5,0.5,15,-5,0.5,0.5
21,3,4,30,-10,0.5,0.5,15,-5,0.5,0.5
22,3,5,30,-0.1,0.5,0.5,15,-5,0.5,0.5
23,4,1,50,-60,0.5,0.5,15,-5,0.5,0.5
24,4,2,60,-60,0.5,0.5,15,-5,0.5,0.5
25,4,3,70,-60,0.5,0.5,15,-5,0.5,0.5
26,4,4,80,-60,0.5,0.5,15,-5,0.5,0.5
27,4,5,90,-60,0.5,0.5,15,-5,0.5,0.5
28,4,6,100,-60,0.5,0.5,15,-5,0.5,0.5
29,4,7,110,-60,0.5,0.5,15,-5,0.5,0.5
30,4,8,120,-60,0.5,0.5,15,-5,0.5,0.5
31,4,9,130,-60,0.5,0.5,15,-5,0.5,0.5
32,4,10,140,-60,0.5,0.5,15,-5,0.5,0.5
33,4,11,150,-60,0.5,0.5,15,-5,0.5,0.5
34,4,12,160,-60,0.5,0.5,15,-5,0.5,0.5
35,4,13,170,-60,0.5,0.5,15,-5,0.5,0.5
36,4,14,180,-60,0.5,0.5,15,-5,0.5,0.5
37,4,15,190,-60,0.5,0.5,15,-5,0.5,0.5
38,4,16,200,-60,0.5,0.5,15,-5,0.5,0.5
39,5,1,20,-30,0.5,0.5,15,-5,0.5,0.5
40,5,2,30,-30,0.5,0.5,15,-5,0.5,0.5
41,5,3,40,-30,0.5,0.5,15,-5,0.5,0.5
42,5,4,50,-30,0.5,0.5,15,-5,0.5,0.5
43,5,5,60,-30,0.5,0.5,15,-5,0.5,0.5
44,5,6,70,-30,0.5,0.5,15,-5,0.5,0.5
45,5,7,80,-30,0.5,0.5,15,-5,0.5,0.5
46,5,8,90,-30,0.5,0.5,15,-5,0.5,0.5
47,5,9,100,-30,0.5,0.5,15,-5,0.5,0.5
48,5,10,110,-30,0.5,0.5,15,-5,0.5,0.5
49,5,11,120,-30,0.5,0.5,15,-5,0.5,0.5
50,6,1,60,-60,0.46,0.54,15,-5,0.5,0.5
51,6,2,60,-60,0.54,0.46,15,-5,0.5,0.5
52,6,3,60,-60,0.58,0.42,15,-5,0.5,0.5
53,6,4,60,-60,0.63,0.37,15,-5,0.5,0.5
54,6,5,60,-60,0.67,0.33,15,-5,0.5,0.5
55,6,6,60,-60,0.71,0.29,15,-5,0.5,0.5
56,6,7,60,-60,0.75,0.25,15,-5,0.5,0.5
57,6,8,60,-60,0.79,0.21,15,-5,0.5,0.5
58,6,9,60,-60,0.83,0.17,15,-5,0.5,0.5
59,6,10,60,-60,0.87,0.13,15,-5,0.5,0.5
60,6,11,60,-60,0.91,0.09,15,-5,0.5,0.5
61,7,1,30,-30,0.42,0.58,15,-5,0.5,0.5
62,7,2,30,-30,0.58,0.42,15,-5,0.5,0.5
63,7,3,30,-30,0.67,0.33,15,-5,0.5,0.5
64,7,4,30,-30,0.75,0.25,15,-5,0.5,0.5
65,7,5,30,-30,0.83,0.17,15,-5,0.5,0.5
66,7,6,30,-30,0.91,0.09,15,-5,0.5,0.5
