task,cutoff,order
"BRET",.010101,4
"BRET",.020408,4
"BRET",.030928,4
"BRET",.041667,4
"BRET",.052632,4
"BRET",.06383,4
"BRET",.075269,4
"BRET",.086957,4
"BRET",.098901,4
"BRET",.111111,4
"BRET",.123596,4
"BRET",.136364,4
"BRET",.149425,4
"BRET",.162791,4
"BRET",.176471,4
"BRET",.190476,4
"BRET",.204819,4
"BRET",.219512,4
"BRET",.234568,4
"BRET",.25,4
"BRET",.265823,4
"BRET",.282051,4
"BRET",.298701,4
"BRET",.315789,4
"BRET",.333333,4
"BRET",.351351,4
"BRET",.369863,4
"BRET",.388889,4
"BRET",.408451,4
"BRET",.428571,4
"BRET",.449275,4
"BRET",.470588,4
"BRET",.492537,4
"BRET",.515152,4
"BRET",.538462,4
"BRET",.5625,4
"BRET",.587302,4
"BRET",.612903,4
"BRET",.639344,4
"BRET",.666667,4
"BRET",.694915,4
"BRET",.724138,4
"BRET",.754386,4
"BRET",.785714,4
"BRET",.818182,4
"BRET",.851852,4
"BRET",.886792,4
"BRET",.923077,4
"BRET",.960784,4
"BRET",1,4
"BRET",1.04082,4
"BRET",1.08333,4
"BRET",1.12766,4
"BRET",1.17391,4
"BRET",1.22222,4
"BRET",1.27273,4
"BRET",1.32558,4
"BRET",1.38095,4
"BRET",1.43902,4
"BRET",1.5,4
"BRET",1.5641,4
"BRET",1.63158,4
"BRET",1.7027,4
"BRET",1.77778,4
"BRET",1.85714,4
"BRET",1.94118,4
"BRET",2.0303,4
"BRET",2.125,4
"BRET",2.22581,4
"BRET",2.33333,4
"BRET",2.44828,4
"BRET",2.57143,4
"BRET",2.7037,4
"BRET",2.84615,4
"BRET",3,4
"BRET",3.16667,4
"BRET",3.34783,4
"BRET",3.54545,4
"BRET",3.7619,4
"BRET",4,4
"BRET",4.26316,4
"BRET",4.55556,4
"BRET",4.88235,4
"BRET",5.25,4
"BRET",5.66667,4
"BRET",6.14286,4
"BRET",6.69231,4
"BRET",7.33333,4
"BRET",8.09091,4
"BRET",9,4
"BRET",10.1111,4
"BRET",11.5,4
"BRET",13.2857,4
"BRET",15.6667,4
"BRET",19,4
"BRET",24,4
"BRET",32.3333,4
"BRET",49,4
"BRET",99,4
"BRET",200,4
"EG",.33,2
"EG",.62,2
"EG",.8,2
"EG",-1,2
"GP",-15.2583,3
"GP",-7.14817,3
"GP",-4.44423,3
"GP",-3.09185,3
"GP",-2.28009,3
"GP",-1.73865,3
"GP",-1.35167,3
"GP",-1.06123,3
"GP",-.835154,3
"GP",-.654133,3
"GP",-.505878,3
"GP",-.382199,3
"GP",-.277425,3
"GP",-.187504,3
"GP",-.109466,3
"GP",-.041083,3
"GP",.019349,3
"GP",.073154,3
"GP",.121381,3
"GP",.164864,3
"GP",.204282,3
"GP",.24019,3
"GP",.273046,3
"GP",.303231,3
"GP",.331066,3
"GP",.356822,3
"GP",.380731,3
"GP",.402991,3
"GP",.423773,3
"GP",.443225,3
"GP",.461476,3
"GP",.478639,3
"GP",.494813,3
"GP",.510086,3
"GP",.524536,3
"GP",.538231,3
"GP",.551234,3
"GP",.563599,3
"GP",.575376,3
"GP",.58661,3
"GP",.597341,3
"GP",.607605,3
"GP",.617435,3
"GP",.626862,3
"GP",.635913,3
"GP",.644614,3
"GP",.652987,3
"GP",.661053,3
"GP",.668833,3
"GP",.676343,3
"GP",.683601,3
"GP",.690622,3
"GP",.69742,3
"GP",.704009,3
"GP",.7104,3
"GP",.716606,3
"GP",.722637,3
"GP",.728502,3
"GP",.734213,3
"GP",.739777,3
"GP",.745203,3
"GP",.750499,3
"GP",.755672,3
"GP",.760731,3
"GP",.76568,3
"GP",.770527,3
"GP",.775279,3
"GP",.779941,3
"GP",.784519,3
"GP",.789019,3
"GP",.793447,3
"GP",.797807,3
"GP",.802105,3
"GP",.806346,3
"GP",.810536,3
"GP",.81468,3
"GP",.818784,3
"GP",.822852,3
"GP",.826892,3
"GP",.830908,3
"GP",.834907,3
"GP",.838897,3
"GP",.842883,3
"GP",.846876,3
"GP",.850883,3
"GP",.854915,3
"GP",.858983,3
"GP",.863103,3
"GP",.867291,3
"GP",.871566,3
"GP",.875956,3
"GP",.880494,3
"GP",.885223,3
"GP",.890208,3
"GP",.895541,3
"GP",.901368,3
"GP",.907947,3
"GP",.915813,3
"GP",.926485,3
"HL",-.37,1
"HL",.03,1
"HL",.32,1
"HL",.59,1
"HL",.85,1
"HL",1.15,1
"HL",1.49,1
"HL",1.95,1
